,Unnamed: 0,smiles,targets
65,65,CC(C)(C)OC(C1=CC=CC(C(=O)OC(C)(C)C)(O)C1)=O,1.0
66,66,COc1ccc(Cn2c3c(c(=Nc4ccc5c(ccnc5N5CC[C@@H](F)C5)c4)[nH]2)nccn3)cc1,1.0
67,67,CC1(C)c2nc3c(C4CC4)nc(-c4cc(OC(F)F)c(N)nc4)nc3n2CCO1,1.0
69,69,c1cc(S(C(C#N)N2C=CN=C(Cl)C2)(=O)=O)ccc1F,1.0
71,71,CC(C)(C)OC(=NC[C@@H]1CCc2c(cc(OC)c(OC)c2OC)C(OCOC)C1)O,1.0
72,72,CCn1c2c(c(C(C)(C)C)n1)nc(Cl)nc2O,1.0
74,74,COC(c1c(N=C(Cc2c(Cl)cc(Cl)cn2)O)nccn1)=O,1.0
75,75,COC(CCCS(N=C(CCCCCCCCCCCCCCCc1n[nH]nn1)O)(=O)=O)=O,1.0
77,77,CC1Cc2c(-c3nccs3)ccc(OS(c3cccs3)(=O)=O)c2C(=O)C1,1.0
81,81,CC(N1CCn2c(c(I)nc2N2CCOCC2)C1)=O,1.0
82,82,C(C#N)C(N(c1c(Cl)cc(Cl)cc1Cl)N)=O,1.0
86,86,C1Cc2c(c(N)c3c(c2Cl)CCC3)C1,1.0
89,89,COC(CCCCC#C/C=C/C=C/CCC#C[Si](C)(C)C)=O,1.0
90,90,C(CCCc1cnc[nH]1)CCc1ccccc1,1.0
92,92,CN1CC2Cc3ccc(Cl)cc3C(O)C2C1,1.0
95,95,Cc1nc(N2CCC(c3ccc(F)cc3)CC2)c([N+]([O-])=O)c(=O)n1CC#N,1.0
96,96,c1cc2c(cc1Br)C(=O)C(=O)N2,1.0
100,100,CCOC(C)OC(CCCCCCC(=O)OCC)(C#N)c1ccco1,1.0
103,103,c1ccc(Cl)c(CNCc2c(C(=O)O)nc(O)nc2O)c1,1.0
104,104,CCCCNc1c(C(NC(C)(C)C#C)=O)ccs1,1.0
110,110,CC(C)(C)OC(COc1cccn2c(CC(C)(C)[N+]([O-])=O)cnc12)=O,1.0
111,111,c1ccc(COC(=NCC(Nc2ccc(Oc3ccc4c(c3)c(C#N)c(N)[nH]4)cc2)=O)O)cc1,1.0
113,113,C1CCC(n2c(-c3cnco3)cc3c[nH]c(=Nc4ccc(N5CCNCC5)cn4)nc32)C1,1.0
114,114,CC(C)(C)c1cc(Cl)ccc1N1CCN(C(CC(=O)O)=O)CC1,1.0
115,115,CC(C)(C)C#Cc1ccc2c(c1)[C@@]1(COCC(=N)N1)c1cc(-c3ccnc(F)c3)cnc1O2,1.0
116,116,Cc1cccc(C)c1-n1c(-c2ccccc2)nnc1C(C)(C)C,1.0
118,118,CC(C)N1CCC(c2cc(F)cc(F)c2)(OC)C1,1.0
121,121,CCCS(C(=C)CN1CCC(O)CC1)(=O)=O,1.0
122,122,CC(C)(C)[Si](c1ccccc1)(c1ccccc1)Oc1cc([N+]([O-])=O)cc2c1[nH]c(=N)s2,1.0
127,127,CC(C)c1cccc(C(C(F)(F)F)(F)F)c1O,1.0
129,129,c1ccc(F)c(-c2nc(C=O)cn2S(c2cccs2)(=O)=O)c1,1.0
130,130,Cc1c2c(n[nH]c1=NN)CCCCCC2,1.0
131,131,CC1(C)OC(COCc2ccccc2)C(c2ccccc2Cl)O1,1.0
132,132,c1cc(-c2c3c(N)c(C(N)=O)sc3ncn2)cc(N=C(Nc2cccc(C(F)(F)F)c2)O)c1,1.0
133,133,C1CCC2(CC1)CNCC(=O)N2c1ccc2c(c1)cn[nH]2,1.0
137,137,c1ccc(S(C2CC3(C2)COC3)(=O)=O)cc1,1.0
138,138,Cc1cc(C(NCc2ccc(C#N)cc2OCC(=NC)O)=O)ccc1F,1.0
139,139,CCN1CC(=O)N(c2c(C)cccc2Cl)C1=S,1.0
142,142,Cn1c(-c2cccc(C=O)c2)nc(-c2ccc(OC(F)F)cc2)n1,1.0
143,143,COC(c1cc(C2CC2)cnc1N(c1ccc2c(cc[nH]2)c1)C(C(F)(F)F)=O)=O,1.0
144,144,Cn1cc(CC2=Cc3ccc(C(F)(F)F)nc3N(C3=CCC(=O)C=C3)C2C(=O)OC)cn1,1.0
145,145,CC1(C)CC(C(=NC2CC(C)(C)[N+](=O)C(C)(C)C2)O)CC(C)(C)N1[O-],1.0
146,146,c1ccc(N)c(C2CCNc3c(C#N)c(-c4ccc(OC5CCOCC5)cc4)nn32)c1,1.0
149,149,CC(C)(CN1CCC(c2cnn3c4c(C(=N)O)cc(F)cc4n(Cc4ccccc4)c23)CC1)O,1.0
151,151,c1cc2c(cc1CO)CC[C@H](n1cnc3cc(Br)sc3c1=O)C2,1.0
153,153,CCCCN=c1c(N=C(Cc2cc(OC)ccc2OC)O)c(Cl)nc[nH]1,1.0
154,154,COC(c1cc(-c2ccccc2)[nH]c1)=S,1.0
157,157,CCCC[C@](C)(CN=C(C)O)Nc1c2c([nH]c(=NCc3ccc(OC)cc3OC)n1)CCCC2,1.0
158,158,CN1CCN(c2ccc(F)c(C(N3CCC(F)(F)[C@@H](Oc4ccc5ccccc5n4)C3)=O)c2)C1=O,1.0
163,163,CCOC([C@@H]1CC[C@H](Nc2ccc(C(N)=NO)cc2)C1)=O,1.0
165,165,c1cc(Cl)ccc1C1CCC2(CC1)CCN([C@H]1CC[C@H](O)CC1)C2=O,1.0
167,167,c1ccc(C2CCC(C(C(c3ccccn3)=O)OC(c3ccccc3)=O)CN2)cc1,1.0
170,170,CC(C)(C=O)Nc1nc(-c2ccc(C#N)cc2)c(Cl)s1,1.0
171,171,C1CCN(C2CCN(C(Cc3csc(-c4cc(Cl)ccc4C(=N)O)n3)=O)CC2)CC1,1.0
173,173,Cc1cc(C(NC(C)c2cc(Cl)c(OCC(F)(F)F)nc2)=O)nc(N=C(C2CCC2)O)n1,1.0
174,174,CC1=NC2(c3cc(Br)ccc3CC23CCC(OC)CC3)N=C1N,1.0
175,175,Cc1ccc(S(n2cc(Br)c3c(F)cccc32)(=O)=O)cc1,1.0
176,176,C1CCNC(Cc2nc3c(C(=O)O)ccnc3[nH]2)C1,1.0
179,179,CC(c1ccccc1N=C(c1cc(=NCCN(C)C)[nH]c(-c2ccccc2)n1)O)=O,1.0
180,180,c1cc(F)c(C(=NCC(=O)O)O)c(N)c1,1.0
181,181,CC1(C)Oc2cc(Oc3ccc(C=O)cc3F)ccc2C(=O)O1,1.0
183,183,C1CC(=O)C=C(OC(c2cc(Cl)c3c(c2Cl)C2(CCS3(=O)=O)OCCO2)=O)C1,1.0
184,184,CCOC(CN(CCc1ccc(C(C)C)cc1)S(c1cc(C#N)ccc1O)(=O)=O)=O,1.0
186,186,Cc1c(F)c(F)c(CS(Cl)(=O)=O)c(F)c1F,1.0
187,187,CN(C1CCN(c2ccnc(C(O)=O)c2)CC1)c1ccc(F)cc1C(=Nc1ccc(Cl)cn1)O,1.0
188,188,c1c(N=[N+]=[N-])c(OC(F)F)c(Cl)nc1Br,1.0
190,190,c1cc(C(CC(=O)O)N)cc([N+]([O-])=O)c1,1.0
193,193,C1CCN(CCCNC(c2ccc(CCl)cc2)=O)CC1,1.0
194,194,C=CCN1CCc2c3cc(F)ccc3n(-c3ccc(F)cc3)c2CC1,1.0
196,196,c1c(C(Cl)=O)ncc(OC(F)F)n1,1.0
197,197,CC(CC(C)(C)N=C(CCOC)O)N(C)C,1.0
198,198,CCOC1CC(c2ccccn2)OC2(CCN(C(c3cccc(F)c3OC)=O)CC2)C1,1.0
199,199,Cc1cc(-c2nccc(C(N)=O)n2)cc(Br)c1,1.0
200,200,CC(C)C[C@@H](C(=O)OC)N1CC(Oc2cc(C)ccc2F)=CC1=O,1.0
202,202,CC1C=Cc2c(nc3c(n2)=CC(C)c2ccccc2-3)=C1,1.0
204,204,CSC1=CN(Cl)C(=O)C2=C(NCNC2Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)O1,1.0
206,206,CCOC(c1c[nH]c2c(Br)ccc(C)c2c1=O)=O,1.0
208,208,CC(C)N1CCC[C@H]1CN=C(c1cn(C2CCCC2)c(=O)c2c(C)c3ccccc3n12)O,1.0
212,212,c1cc(-c2ccnc(Cl)c2)cc2c1CC[C@]21C(F)(F)COC(=N)N1,1.0
215,215,C1CN(c2cc(Cl)ncn2)CCC1(F)F,1.0
223,223,COC1(OC)CCOCC1I,1.0
224,224,CC1(C)C(=O)N(C)C(=NOC(N(C)SC(C)(CCl)CCl)=O)S1,1.0
227,227,CC(C)(C)NC(c1ccc(Cl)c[n+]1[O-])=O,1.0
229,229,Cc1c(-c2nc3c(s2)C(=O)N(C)CC3)cccc1Cl,1.0
231,231,COC(COc1cc(OCc2ccccc2)cc(O)c1C(C=CC1C=CC=CC1)=O)=O,1.0
232,232,CCN(C1CCCCC1)C(CCc1ccc(F)cc1)=O,1.0
234,234,CCc1c(CCC(=O)O)c(-c2ccc(Cl)cc2)no1,1.0
235,235,CC(=O)OON=C1CC(c2ccc(Cl)c(OC)c2F)NC(C(=O)OC)C1(Cl)Cl,1.0
236,236,c1cc2c(F)ccc(Br)c2nc1,1.0
237,237,CCc1ccc(Nc2c(-c3nnc(O)o3)ccc(F)c2F)c(F)c1,1.0
238,238,c1ccc2c(c1)CCC2n1cccc(C(N=c2cc[nH]cc2)=O)c1=O,1.0
239,239,CN(CC(OC)OC)c1nc2ccc(F)nc2[nH]1,1.0
240,240,CCCCCCCC1C(C=C(CC(=O)OC)C(=O)OC)O1,1.0
241,241,c1cc2c(cc1-c1ccc(CO)o1)[nH][nH]c2=N,1.0
244,244,CN1CCN(c2cccc(Cn3cc(C(=N)NO)ccc3=O)c2)CC1,1.0
245,245,c1ccc(Sc2cc(N)ccc2C#N)cc1,1.0
246,246,CC(C)[C@@H](C(N(Cc1ccccc1)C([C@@H]1CCCN1CC(C12CC3CC(CC(C3)C1)C2)=O)=O)=O)N,1.0
247,247,CC1(C)C(C)(C)OB(c2cn(C(C3CC3)C3CC3)c(=O)c3ccccc32)O1,1.0
248,248,c1cc(C#N)c2c(c1)C(=O)C(n1ccnc1C(N)=O)C2,1.0
249,249,C(CCn1cncn1)Cc1ccc(OCc2coc(/C=C/c3ccc(C(F)(F)F)cc3F)n2)nn1,1.0
250,250,c1cc(N)c(F)c2ccc(Br)cc12,1.0
253,253,Cc1ccc(NS(c2cc3c(cc2-c2ccccc2)NC(=O)CO3)(=O)=O)cc1C,1.0
254,254,COc1cccc2c1c1cc(CO)nn1c(O)n2,1.0
255,255,C1CCc2c(ccc(I)n2)C1,1.0
257,257,C1CCN(C2(c3ccco3)CCSCC2)CC1,1.0
260,260,CC(C(c1ccc2c(c1)CCC(=O)N2CCOCc1ccccc1)=O)=NO,1.0
261,261,Cc1cc(N2CCC(OCC3(C)CC3(F)F)CC2)nc(C#N)c1C(=O)OC,1.0
266,266,c1cc(Oc2cc(O)cc(O)c2-c2cc(C(=NCCF)O)no2)ccc1[N+]([O-])=O,1.0
268,268,Cc1ccc(O)c(-c2c(F)c(F)c(F)c(F)c2F)c1,1.0
269,269,CC=COC(C(C(=O)O)(N)S(C(C)(C)C)(=O)=O)=O,1.0
271,271,c1ccc(COC([C@@H]2CC[C@@H]3CN2C(=O)N3OCc2ccccc2)=O)cc1,1.0
272,272,CN1CCNC(Cc2ccc(CC(=O)OC)cc2)C1,1.0
274,274,COC(CN(CCc1ccc(O)c2c1ccc(O)n2)C(=O)OCc1ccccc1)OC,1.0
277,277,CC1CCc2c(cc(-c3ccccc3)n2-c2ccc(O)c(C(=O)O)c2)C1,1.0
278,278,CCSCCNCc1ccccc1P(c1ccccc1)c1ccccc1,1.0
279,279,c1cc(F)ccc1C1(c2cc(O)c(O)nn2)CC1,1.0
280,280,c1cc2c(nc1)n(-c1ccc(C(C(=O)O)=O)cc1)cn2,1.0
282,282,COc1cc(OC)nc(N=C(NS(c2c(C(=O)OC)ccc(OCC(F)(F)F)n2)(=O)=O)O)n1,1.0
283,283,CSC1=NS(=O)(=O)c2cc(Br)sc2N1,1.0
285,285,CC(C)S(c1cc2c(c(OCc3ccccc3F)c1)[nH][nH]c2=Nc1nccs1)(=O)=O,1.0
287,287,C1CCc2c(cc3c(=O)n(-c4cc(F)cc(Br)c4C=O)ccn23)C1,1.0
288,288,c1cc2nncn2c(Oc2cc(Br)cnc2N)c1,1.0
291,291,CCN(CC)C(=S)SCCc1ccccc1,1.0
293,293,C(c1csc([N+]([O-])=O)c1-c1cscn1)#N,1.0
294,294,CS(c1c2c(ccc3cnsc32)c(C(N)=O)s1)=O,1.0
297,297,c1ccc(COn2c3ccc(N(Cc4n[nH]nn4)C(c4cccnc4)=O)cc3cn2)cc1,1.0
299,299,CCC#CON1C(c2ccncc2)C=NS1,1.0
305,305,CC(C)CCn1c2ccccc2c(O)c(C2=Nc3ccc(Cl)cc3S(=O)(=O)N2)c1=O,1.0
306,306,Cc1c2n(nn1)CCN(c1ccc(Cl)cc1)c1cc(C(=O)OC)ccc1-2,1.0
307,307,c1cc2c(cc1Cl)sc(=NCC(F)(F)F)[nH]2,1.0
308,308,CC(N(c1ccc(N)cc1)n1cnnc1)=O,1.0
309,309,COc1ccc(C(c2ccc(F)cc2)=O)c(F)c1,1.0
311,311,CCCc1nc(=O)c(-c2ccc(C)cc2)c(O)[nH]1,1.0
315,315,CC(=Nc1ccc(N)c2c1SCC(N=C(C)O)C2=O)O,1.0
319,319,c1cc(-c2cnc(N3CCNCC3)c3nc(N)cn23)sc1,1.0
321,321,Cc1cc(I)cc2c1onc2O,1.0
324,324,CC(C)=CC[C@H]1[C@](C)([C@H]2[C@H](OC)[C@H](OC(N=C(CCl)O)=O)CC[C@]23CO3)O1,1.0
326,326,c1ccc2c(c1)-c1ccccc1C2CN=C([C@H](CO)[C@H](c1ccc([N+]([O-])=O)cc1)O)O,1.0
327,327,C[C@@H](c1ncc(F)cn1)Nc1ncc(Cl)c(=Nc2cc(OCC(F)(F)F)n[nH]2)[nH]1,1.0
335,335,CS(c1ncc(C#N)c(OC2CC3(CC(N=C(O)OCc4ccccc4)C3)C2)n1)(=O)=O,1.0
336,336,CC(C)CC(C)(COc1ccc2c(c1)COc1c[nH]c(=N)cc1-2)N=C(O)OC(C)(C)C,1.0
337,337,c1cc(F)ccc1C(c1cc(-c2ccc3c(c2)OCO3)c2c(c1)sc(=N)[nH]2)O,1.0
340,340,C#Cc1c2c(Cl)cc(C(C)N)c(-c3ccccc3)n2c(C)n1,1.0
344,344,CC(CN=c1cc(Cl)nc[nH]1)c1ccnc2c1OCC2,1.0
347,347,CC(=NC(/C=C/CP(O)(O)=O)C(=O)O)O,1.0
349,349,CCCOC(CC1c2cc(C)c(C)cc2C(=O)N1c1cccnc1)=O,1.0
350,350,Cc1ncc2n1nc(-c1ccc(Nc3nc4n(n3)CCCC4c3ccc(F)cc3)cc1)o2,1.0
357,357,c1cc(NC(N2CCS(=O)(=O)CC2)=O)ccc1Cl,1.0
358,358,Cc1ncc(N=C(C(C#N)=C(C(Cl)(Cl)Cl)N)O)n1-c1ccccc1,1.0
361,361,CC1c2c([nH]n(-c3ccc(Cl)c(Cl)c3)c2=O)-c2ccccc2O1,1.0
364,364,CC[S]1C(C(=O)O)=C(O)N=C1c1cnc2ccc(I)cn12,1.0
367,367,CCCCS(N1CCC(c2nc(-c3cc4ccccc4[nH]3)c3c(=N)[nH]ccn32)CC1)(=O)=O,1.0
368,368,CC#CCOc1cnc(C(=Nc2ccc(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(=N)N3)c2)O)cn1,1.0
369,369,Cc1cc(S(NC(=Nc2cc(Br)cc(NC(=N)O)n2)O)(=O)=O)cs1,1.0
372,372,c1ccc(COc2csc(C3=Cc4ccccc4OC3)n2)cc1,1.0
375,375,c1cc2c(c(-c3cc4ccncc4[nH]3)n[nH]2)nc1,1.0
377,377,CC(C)CN(c1cc(OC2CCCC2)nn2cnnc12)C(=O)OC(C)(C)C,1.0
378,378,c1cc(P(c2ccco2)I)oc1,1.0
379,379,CNc1cnn(CC(F)(F)F)c1C(N)=O,1.0
380,380,Cc1nc(C(N2C[C@H]3C[C@H]3[C@H]2CN=C(C(F)(F)F)O)=O)c(-c2cccc(F)c2)s1,1.0
381,381,CCCc1nnc(N=C(CN(C)C)O)s1,1.0
383,383,CC(C)(C)OC(C1(ON=C(c2ccco2)C(=O)O)CCCC1)=O,1.0
386,386,CC(C)(C)OC(=NC1CCC(Cn2c3c(c[nH]c(=NC)n3)c(-c3ccccc3)n2)CC1)O,1.0
388,388,CC(C#N)(COC)Nc1ccc(Cl)cc1,1.0
391,391,CC(C)C(=C)C(c1cc2cc(C(=O)O)oc2c(C)c1C)=O,1.0
392,392,CC=C(CCN1CCOCC1)c1c(C)c(C(=O)OC)cs1,1.0
397,397,C1CCCC(C(c2ccccc2)=O)CC1,1.0
399,399,C(CC1OCCO1)C(CCC(F)(F)F)=O,1.0
400,400,CC(C)N1C(=O)C2(CCNCC2)N=C1O,1.0
402,402,CC(C)Cn1c(-c2c(Cl)c(C)cs2)nn(CC(=O)O)c1=O,1.0
404,404,CCOC(CCN=C(C1CCCN(C(c2c(C)nc(NC(=N)N)s2)=O)C1)O)=O,1.0
406,406,c1cc(C(=Nc2ccc(C(NN)=O)cc2)O)oc1,1.0
408,408,c1cc(N2CCOCC2)ccc1N=c1cncc(Cl)[nH]1,1.0
409,409,c1ccc2c(c1)ccc1c2ncnc1Cl,1.0
412,412,C(N=C(c1cc([2H])c(NC2(C#N)CCC2)c([2H])c1F)O)([2H])([2H])[2H],1.0
413,413,CC1=CC(C)(C)C(C(=C)CCOC(C)=O)C(C)(C)C1,1.0
414,414,c1ccc(OCC(N2CCCC2)=O)c(-n2c(N)c(C(=Nc3ccc(C(F)(F)F)cn3)O)cn2)c1,1.0
416,416,CC(C)(C#N)c1ccc(N=c2c3cc(Cl)ccc3[nH]cc2[N+]([O-])=O)cc1,1.0
418,418,C[C@H]1CC[C@H](N=c2c(I)c[nH]c(=N)[nH]2)CC1,1.0
420,420,Cn1c(=O)n(-c2cc(N)c(F)cc2Cl)nn1,1.0
426,426,CCCCOc1nc2c(CCCCCN3CCC[C@H]3C(=O)OC)c(C#N)[nH]c2c(N)n1,1.0
428,428,CC(C)(C)OC(N(C)C1CCc2c1cc(F)c(B1OC(C)(C)C(C)(C)O1)c2F)=O,1.0
431,431,Cc1cccc(C)c1OCC(=N[C@@H](Cc1ccccc1)[C@H](C[C@H](Cc1ccccc1)N)O)O,1.0
432,432,CCOC(CC1C(=O)[S](CC#N)c2c(cccn2)N1)=O,1.0
435,435,CC1=C(c2cnc(OC)nc2OC)C(c2ccc(OCCN3CCCC3)cc2)Oc2cc(O)ccc21,1.0
438,438,COC([C@H]1CCC[C@@H](COc2cccc(O)c2C=O)C1)=O,1.0
439,439,c1cc(F)c(Cl)cc1C=C[N+]([O-])=O,1.0
440,440,c1cc(-c2cncn2-c2cc(C(O)=O)[nH]c2)c(F)c(F)c1,1.0
442,442,Cc1cc(-c2ccc(Oc3ccc(F)c(OC)c3)cc2)c(N)nc1,1.0
444,444,c1ccc2c(c1)cccc2CN=C(C1CCc2ccccc2O1)O,1.0
446,446,CC(C)(C)OC(=NCC(=O)ON1C(=O)CCC1=O)O,1.0
449,449,CCOC(C1=C(c2cccc(F)c2NC(C(C)(C)C)=O)CCC1)=O,1.0
453,453,C[C@@]1(c2cc(Br)cc([N+]([O-])=O)c2)COCC(S)=N1,1.0
455,455,CCCN1CC(=O)N2C(Cc3cc(O)ccc3C2(C)C)C1=O,1.0
456,456,CS(=O)(=O)OCc1ccc(-c2c(F)cc(OC3CCOCC3)cc2F)nn1,1.0
457,457,Cc1cc2c(c(Br)c1O)sc(C1CC1)n2,1.0
458,458,Cn1c2ccc(-c3cc(CCC(=O)OC)ccc3OCC3CCCC3)cc2sc1=O,1.0
460,460,c1ccc(-n2[nH]c(=O)c[n+]2[O-])c(Cl)c1,1.0
463,463,CC(C)(C(=O)OC)N1COCN=C1O,1.0
465,465,c1ccc(-c2ccnn(C3=CCCC=C3)c2=O)cc1,1.0
468,468,c1cc(F)cc(-n2c(CC(=O)O)ccn2)c1,1.0
469,469,C1CNCC(=O)N(c2c(Cl)cncc2Cl)C1,1.0
470,470,CC(c1ccccc1)n1c2ccc(F)cc2c2c1c[nH]n2,1.0
473,473,CC(=Nc1ccc(CCc2ccc(CN(C)C)o2)cc1)O,1.0
474,474,CN(CCCn1c(-c2ccccn2)cc(C(N(C)OC)=O)n1)C(=O)O,1.0
475,475,c1cc2c(c(F)c1)nc(C(c1ccc(F)cc1)=O)nc2Cl,1.0
476,476,C=Cn1cc(C(=Nc2ccc(C(C)C)nc2)O)cn1,1.0
477,477,Cc1cc(C(F)(F)F)cc(NN=C(C2CCCCN2C(C(c2cccs2)=O)=O)O)n1,1.0
479,479,Cc1cc2c(cc1F)[nH]c(C(=O)OC)c2-c1cccnc1OC,1.0
481,481,CC(C(C)(C1CC2CCC1C2)C(=O)OC)NN=C(c1ccccc1)O,1.0
483,483,CCOC(c1cc(Cl)nc2c1c(C#CC1CCCCC1)nn2C1CCCCO1)=O,1.0
487,487,c1cc2ncc(C#N)n2nc1C=NC1(C#N)CC1,1.0
488,488,CCCC1=C2C[C@H](C3(C)CO3)CCC2(C)CCC1=O,1.0
493,493,CCOC(C1=CCCC[C@H]1S([C@H]1CCc2cccc(Cl)c21)(=O)=O)=O,1.0
494,494,COC=C(c1ccccc1Oc1c(F)c(Oc2ccccc2)ncn1)C1=NOCCO1,1.0
495,495,CCOC(N1CCc2c(oc3cc(C=O)nn23)C1)=O,1.0
496,496,Cc1c(-c2c(Cl)cccc2F)c(N)n(C)n1,1.0
497,497,CCCc1c(C)c(-c2cccc(C(F)(F)F)c2)nc(C#N)n1,1.0
498,498,CC(C)=CCOCC(C)(C)C(C(C)C)O,1.0
502,502,c1ccc2c(c1)-n1cc(C(=O)OCCN3CCOCC3)nc1CO2,1.0
504,504,CC(C)(c1ccc(-c2ccco2)cc1)C(=NCCOC)O,1.0
506,506,CC1(C)CC(c2cc(F)cc(NC3(C(=O)O)CC3)c2)Nc2ccc(S(NC3CCC3)(=O)=O)cc21,1.0
507,507,c1cc(C2(F)CCNCC2)ccc1C#N,1.0
508,508,CC(C)(C)[Si](C)(C)OC1CN(c2ccccc2)S(=O)(=O)C12CCN(Cc1ccccc1)C2,1.0
511,511,CC(C)(C)OC(Nc1ccc(Cl)cc1CN(CC#N)C1(C)CC1)=O,1.0
512,512,CN1CCN(c2ccc(Nc3nc4ccsc4c(Oc4cccc([N+]([O-])=O)c4)n3)cc2)CC1,1.0
513,513,CC(C)(CCC(CC(C(Cc1ccccc1)N=C(c1cnc2ccccc2n1)O)O)c1nc[nH]n1)F,1.0
515,515,Cc1c(N=C(c2cc(C(F)(F)F)nc3ccc(Br)cc23)O)cn(Cc2ccn(C)n2)n1,1.0
516,516,Cc1cc(OCCCS(C)(=O)=O)ncc1-c1ccc(F)c(C(=O)O)c1,1.0
517,517,CCN(CC)C(C(Br)(F)F)=O,1.0
518,518,CN1CCn2c(c(C(Nc3ccc(S(N)(=O)=O)cc3)=O)nc2-c2ccc(Cl)cc2F)C1,1.0
519,519,Cc1ccc(S(NC2CC(Oc3c(Br)cccn3)C2)(=O)=O)cc1,1.0
521,521,CC1=CC(C(=NC)S)(Oc2c(Cl)cc(C(F)(F)F)cn2)N=N1,1.0
522,522,C#Cc1c(Cl)cc(C(N(C)OC)=O)c(-c2cccc(F)c2)c1/N=N/N1CCCC1,1.0
523,523,CCOc1ccc(N=c2nc(O)cc(N)n2-c2ccccc2)cc1,1.0
524,524,Cc1c(-c2ccc(S(NC)(=O)=O)cc2)nn(C)c1O,1.0
526,526,C1COCC1n1cc(-c2c[nH]c(=N)nc2)cn1,1.0
527,527,COCCCc1cc(-c2ccccc2C(F)(F)F)cc(N)c1N,1.0
528,528,c1cc2c(c([N+]([O-])=O)c1Cl)sc(N1CCN3CCC1CC3)n2,1.0
529,529,CCOC(C(C(=O)OCC)Oc1ccc2cc(CN)[nH]c2c1)=O,1.0
530,530,Cn1c(N2CCC[C@@H](N=C(O)OCc3ccccc3)CC2)c(NC(c2c(N)cnc(Cl)n2)=O)cn1,1.0
531,531,c1ccc(-c2cc(OC(N3CCCCC3)=O)nc3ccccc23)cc1,1.0
532,532,CCOC(c1cc2c(ccc3c2O[C@@H](CO)CO3)[nH]1)=O,1.0
534,534,CC(C)C(C)(C(=N)O)N=C(C(C)=C(C)C(=O)O)O,1.0
535,535,CCOC(c1c(C#N)c2c(c(Br)c(C)s2)[nH]1)=O,1.0
536,536,CC(N1CCNC(=O)c2ccc(cc2)NC2=NC(=NCC1)N=C(OCC(F)(F)F)N2)=O,1.0
539,539,COC(C(C(Cc1ccccc1Cl)=C(SC)SC)=O)OC,1.0
540,540,CCC(CC(=O)[S]1CCNc2ccc(C(C(F)(F)F)(C(F)(F)F)O)cc21)=O,1.0
